detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
xception,Xception,naive,2,0.5458257851187905,0.46654954,-5.573968682476282e-06,-0.03647328293736496,0.017991190984939953,0.03123766874350986,0.01100000000000001
mesoinception,MesoInception,naive,2,0.5110088159179266,0.48664558,-0.0032206552213822903,-0.025311965442764595,-0.004132688403526291,-0.007745560747663555,0.008600000000000024
mesonet,MesoNet,naive,2,0.5928932255075594,0.51991414,-0.011690278228941642,-0.023914276457883354,0.012694195332423497,0.019668535825545175,0.009599999999999997
