condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command,clean_status,clean_auc,clean_ap,clean_acc,clean_eer,clean_runtime_sec,delta_auc,delta_ap,delta_acc,delta_eer,delta_runtime_sec
distorted,Dataset-1-mini::noise_v1__d23d8d061a::v0,Dataset-1-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0,mesonet,MesoNet,naive,Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,29.89,0.5,0.7924,0.3,0.7551495234162424,0.7924,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/logs/mesonet__Dataset-1-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1-mini__noise_v1__d23d8d061a__v0,success,0.7268,0.6360072510701688,0.5,0.3,30.241,0.06559999999999999,0.11914227234607366,0.0,0.0,-0.3509999999999991
distorted,Dataset-1-mini::noise_v1__d23d8d061a::v0,Dataset-1-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0,mesoinception,MesoInception,naive,Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.142,0.65,0.6184,0.38,0.607412399665562,0.6184,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/logs/mesoinception__Dataset-1-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1-mini__noise_v1__d23d8d061a__v0,success,0.498,0.5222953761431295,0.49,0.48,30.35,0.12039999999999995,0.08511702352243256,0.16000000000000003,-0.09999999999999998,-0.20800000000000196
distorted,Dataset-1-mini::noise_v1__d23d8d061a::v0,Dataset-1-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0,xception,Xception,naive,Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.655,0.5,0.4411999999999999,0.54,0.5014457875202405,0.4411999999999999,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1-mini__noise_v1__d23d8d061a__v0/Dataset-1-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/logs/xception__Dataset-1-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1-mini__noise_v1__d23d8d061a__v0,success,0.6819999999999999,0.6989347375714321,0.59,0.4,5.581,-0.24080000000000001,-0.1974889500511916,-0.08999999999999997,0.14,0.07399999999999984
