detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesoinception,MesoInception,naive,1,0.6184,0.6184,0.12039999999999995,0.12039999999999995,0.08511702352243256,0.16000000000000003,-0.09999999999999998
mesonet,MesoNet,naive,1,0.7924,0.7924,0.06559999999999999,0.06559999999999999,0.11914227234607366,0.0,0.0
xception,Xception,naive,1,0.4411999999999999,0.4411999999999999,-0.24080000000000001,-0.24080000000000001,-0.1974889500511916,-0.08999999999999997,0.14
