condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command,clean_status,clean_auc,clean_ap,clean_acc,clean_eer,clean_runtime_sec,delta_auc,delta_ap,delta_acc,delta_eer,delta_runtime_sec
distorted,Dataset-1-mini::snapchat_text_overlay_v1__ddc9a26517::v0,Dataset-1-mini,snapchat_text_overlay_v1,snapchat_text_overlay_v1__ddc9a26517,text_overlay,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,mesonet,MesoNet,naive,Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,30.223,0.56,0.6988,0.34,0.6443351981971243,0.6988,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesonet__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesonet__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesonet__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/logs/mesonet__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesonet__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,success,0.7268,0.6360072510701688,0.5,0.3,29.815,-0.028000000000000025,0.008327947126955504,0.06000000000000005,0.040000000000000036,0.4079999999999977
distorted,Dataset-1-mini::snapchat_text_overlay_v1__ddc9a26517::v0,Dataset-1-mini,snapchat_text_overlay_v1,snapchat_text_overlay_v1__ddc9a26517,text_overlay,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,mesoinception,MesoInception,naive,Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.359,0.49,0.4876,0.5,0.48906784206781095,0.4876,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesoinception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesoinception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesoinception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/logs/mesoinception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesoinception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,success,0.498,0.5222953761431295,0.49,0.48,29.98,-0.01040000000000002,-0.03322753407531853,0.0,0.020000000000000018,0.37900000000000134
distorted,Dataset-1-mini::snapchat_text_overlay_v1__ddc9a26517::v0,Dataset-1-mini,snapchat_text_overlay_v1,snapchat_text_overlay_v1__ddc9a26517,text_overlay,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,xception,Xception,naive,Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.635,0.66,0.5768,0.46,0.6761806989934124,0.5768,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/logs/xception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_text_overlay_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__Dataset-1-mini__snapchat_text_overlay_v1__ddc9a26517__v0,success,0.6819999999999999,0.6989347375714321,0.59,0.4,5.624,-0.10519999999999996,-0.02275403857801972,0.07000000000000006,0.06,0.01100000000000012
