detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesoinception,MesoInception,naive,1,0.4876,0.4876,-0.01040000000000002,-0.01040000000000002,-0.03322753407531853,0.0,0.020000000000000018
mesonet,MesoNet,naive,1,0.6988,0.6988,-0.028000000000000025,-0.028000000000000025,0.008327947126955504,0.06000000000000005,0.040000000000000036
xception,Xception,naive,1,0.5768,0.5768,-0.10519999999999996,-0.10519999999999996,-0.02275403857801972,0.07000000000000006,0.06
