detector_key,detector_name,dataset,condition,recipe_label,real_total,real_correct,real_wrong,real_accuracy,fake_total,fake_correct,fake_wrong,fake_accuracy,overall_accuracy_from_predictions,balanced_accuracy,better_class,prediction_artifacts_path
xception,Xception,Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,text_overlay,5000,4630,370,0.926000,4630,1955,2675,0.422246,0.683801,0.674123,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0/Dataset-1__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv
mesonet,MesoNet,NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,10000,0,10000,0.000000,10000,10000,0,1.000000,0.500000,0.500000,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
mesoinception,MesoInception,NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,10000,2161,7839,0.216100,10000,7264,2736,0.726400,0.471250,0.471250,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
xception,Xception,NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,10000,6429,3571,0.642900,10000,2737,7263,0.273700,0.458300,0.458300,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
mesonet,MesoNet,NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0,distorted,jpeg,10000,25,9975,0.002500,10000,9991,9,0.999100,0.500800,0.500800,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv
mesoinception,MesoInception,NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0,distorted,jpeg,10000,4921,5079,0.492100,10000,4527,5473,0.452700,0.472400,0.472400,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv
xception,Xception,NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0,distorted,jpeg,10000,7696,2304,0.769600,10000,1814,8186,0.181400,0.475500,0.475500,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv
mesonet,MesoNet,NVIDIA-dataset__noise_v1__d23d8d061a__v0,distorted,noise,10000,20,9980,0.002000,10000,9990,10,0.999000,0.500500,0.500500,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0/NVIDIA-dataset__noise_v1__d23d8d061a__v0/predictions.csv
mesoinception,MesoInception,NVIDIA-dataset__noise_v1__d23d8d061a__v0,distorted,noise,10000,4049,5951,0.404900,10000,5843,4157,0.584300,0.494600,0.494600,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset__noise_v1__d23d8d061a__v0/NVIDIA-dataset__noise_v1__d23d8d061a__v0/predictions.csv
xception,Xception,NVIDIA-dataset__noise_v1__d23d8d061a__v0,distorted,noise,10000,9921,79,0.992100,10000,42,9958,0.004200,0.498150,0.498150,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset__noise_v1__d23d8d061a__v0/NVIDIA-dataset__noise_v1__d23d8d061a__v0/predictions.csv
mesonet,MesoNet,NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,text_overlay,10000,434,9566,0.043400,10000,9643,357,0.964300,0.503850,0.503850,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesonet__NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv
mesoinception,MesoInception,NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,text_overlay,10000,5499,4501,0.549900,10000,4359,5641,0.435900,0.492900,0.492900,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/mesoinception__NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv
xception,Xception,NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0,distorted,text_overlay,10000,6610,3390,0.661000,10000,3266,6734,0.326600,0.493800,0.493800,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/test_artifacts/xception__NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/NVIDIA-dataset__snapchat_text_overlay_v1__ddc9a26517__v0/predictions.csv
