detector_key,detector_name,family,runs_expected,runs_success,complete,acc_mean,auc_mean,eer_mean,ap_mean,auc_gap,runtime_total_sec,runtime_norm,score,status_note
ffd,FFD,spatial,2,2,1,0.51685,0.54870207,0.4655,0.5423839534241582,0.2192789,452.639,0.09757347915242646,0.3580035828526375,ok
efficientnet-b4,EfficientNet-B4,naive,2,2,1,0.505,0.44606138999999995,0.5376000000000001,0.5063673777052137,0.00882645999999998,531.854,1.0,0.2354080648410427,ok
core,CORE,spatial,2,2,1,0.48055000000000003,0.33799082999999996,0.6244000000000001,0.4294456335192216,0.053783899999999996,444.074,0.0,0.21972501520384427,ok
ucf,UCF,spatial,2,0,0,,,,,,,,,incomplete_or_failed
