detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
capsule,Capsule,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,success,,0,mps,321.86,0.5254,0.47252759999999994,0.5204,0.543566027008233,0.47252759999999994,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/capsule__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset Dataset-1-stageB
capsule,Capsule,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,success,,0,mps,246.293,0.4147,0.38377486,0.5882,0.43026359078990845,0.38377486,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/capsule__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset NVIDIA-dataset-stageB
dsp-fwa,DSP-FWA,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/dsp-fwa__Dataset-1-stageB.log,
dsp-fwa,DSP-FWA,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/dsp-fwa__NVIDIA-dataset-stageB.log,
face-xray,Face X-ray,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/face-xray__Dataset-1-stageB.log,
face-xray,Face X-ray,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/face-xray__NVIDIA-dataset-stageB.log,
ffd,FFD,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,success,,0,mps,163.884,0.5768,0.65834152,0.3856,0.6363643797585032,0.65834152,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/ffd__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset Dataset-1-stageB
ffd,FFD,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,success,,0,mps,288.755,0.4569,0.43906262,0.5454,0.4484035270898133,0.43906262,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/ffd__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset NVIDIA-dataset-stageB
core,CORE,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,success,,0,mps,162.445,0.5242,0.31109887999999997,0.6492,0.4463927698709704,0.31109887999999997,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/core__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset Dataset-1-stageB
core,CORE,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,success,,0,mps,281.629,0.4369,0.36488277999999996,0.5996,0.4124984971674729,0.36488277999999996,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/core__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset NVIDIA-dataset-stageB
