detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
ffd,FFD,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/ffd__NVIDIA-dataset.log,
core,CORE,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/core.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/core__Dataset-1.log,
core,CORE,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/core.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/core__NVIDIA-dataset.log,
recce,RECCE,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/recce.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/recce__Dataset-1.log,
recce,RECCE,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/recce.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/recce__NVIDIA-dataset.log,
ucf,UCF,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/ucf__Dataset-1.log,
ucf,UCF,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/ucf__NVIDIA-dataset.log,
local-relation,Local-relation,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/local-relation__Dataset-1.log,
local-relation,Local-relation,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/local-relation__NVIDIA-dataset.log,
iid,IID,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/iid__Dataset-1.log,
iid,IID,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/iid__NVIDIA-dataset.log,
rfm,RFM,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/rfm__Dataset-1.log,
rfm,RFM,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/rfm__NVIDIA-dataset.log,
sia,SIA,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sia__Dataset-1.log,
sia,SIA,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sia__NVIDIA-dataset.log,
sladd,SLADD,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sladd__Dataset-1.log,
sladd,SLADD,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sladd__NVIDIA-dataset.log,
uia-vit,UIA-ViT,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/uia-vit__Dataset-1.log,
uia-vit,UIA-ViT,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/uia-vit__NVIDIA-dataset.log,
clip,CLIP,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/clip__Dataset-1.log,
clip,CLIP,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/clip__NVIDIA-dataset.log,
sbi,SBI,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sbi__Dataset-1.log,
sbi,SBI,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/sbi__NVIDIA-dataset.log,
pcl-i2g,PCL-I2G,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/pcl-i2g__Dataset-1.log,
pcl-i2g,PCL-I2G,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/pcl-i2g__NVIDIA-dataset.log,
multi-attention,Multi-Attention,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/multi-attention__Dataset-1.log,
multi-attention,Multi-Attention,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/multi-attention__NVIDIA-dataset.log,
lsda,LSDA,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/lsda__Dataset-1.log,
lsda,LSDA,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/lsda__NVIDIA-dataset.log,
effort,Effort,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/effort__Dataset-1.log,
effort,Effort,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/effort__NVIDIA-dataset.log,
