detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
xception,Xception,naive,1,0.4184,0.4184,0.004400000000000015,0.004400000000000015,-0.0025638220623069863,0.010000000000000009,-0.020000000000000018
mesoinception,MesoInception,naive,1,0.3884,0.3884,-0.003599999999999992,-0.003599999999999992,-0.009138115799170121,-0.09999999999999998,0.06000000000000005
mesonet,MesoNet,naive,1,0.5068,0.5068,-0.011599999999999944,-0.011599999999999944,-0.011222116220609701,0.0,0.0
