detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
capsule,Capsule,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/capsule__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset Dataset-1-stageB
capsule,Capsule,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/capsule__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset NVIDIA-dataset-stageB
dsp-fwa,DSP-FWA,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/fwa_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/dsp-fwa__Dataset-1-stageB.log,
dsp-fwa,DSP-FWA,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/fwa_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/dsp-fwa__NVIDIA-dataset-stageB.log,
face-xray,Face X-ray,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/facexray_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/face-xray__Dataset-1-stageB.log,
face-xray,Face X-ray,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/facexray_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/face-xray__NVIDIA-dataset-stageB.log,
ffd,FFD,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/ffd__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset Dataset-1-stageB
ffd,FFD,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/ffd__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset NVIDIA-dataset-stageB
core,CORE,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/core__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset Dataset-1-stageB
core,CORE,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/core__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset NVIDIA-dataset-stageB
recce,RECCE,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/recce.yaml,/Users/Hao/thesis-project/training/weights/recce_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/recce__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/recce.yaml --weights_path /Users/Hao/thesis-project/training/weights/recce_best.pth --test_dataset Dataset-1-stageB
recce,RECCE,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/recce.yaml,/Users/Hao/thesis-project/training/weights/recce_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/recce__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/recce.yaml --weights_path /Users/Hao/thesis-project/training/weights/recce_best.pth --test_dataset NVIDIA-dataset-stageB
ucf,UCF,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,/Users/Hao/thesis-project/training/weights/ucf_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/ucf__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ucf.yaml --weights_path /Users/Hao/thesis-project/training/weights/ucf_best.pth --test_dataset Dataset-1-stageB
ucf,UCF,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,/Users/Hao/thesis-project/training/weights/ucf_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/ucf__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ucf.yaml --weights_path /Users/Hao/thesis-project/training/weights/ucf_best.pth --test_dataset NVIDIA-dataset-stageB
local-relation,Local-relation,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/lrl_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/local-relation__Dataset-1-stageB.log,
local-relation,Local-relation,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/lrl_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/local-relation__NVIDIA-dataset-stageB.log,
iid,IID,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/iid_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/iid__Dataset-1-stageB.log,
iid,IID,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/iid_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/iid__NVIDIA-dataset-stageB.log,
rfm,RFM,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/rfm_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/rfm__Dataset-1-stageB.log,
rfm,RFM,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/rfm_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/rfm__NVIDIA-dataset-stageB.log,
sia,SIA,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sia_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sia__Dataset-1-stageB.log,
sia,SIA,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/sia.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sia_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sia__NVIDIA-dataset-stageB.log,
sladd,SLADD,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sladd_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sladd__Dataset-1-stageB.log,
sladd,SLADD,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/sladd_detector.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sladd_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sladd__NVIDIA-dataset-stageB.log,
uia-vit,UIA-ViT,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/uia_vit_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/uia-vit__Dataset-1-stageB.log,
uia-vit,UIA-ViT,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/uia_vit.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/uia_vit_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/uia-vit__NVIDIA-dataset-stageB.log,
clip,CLIP,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/clip_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/clip__Dataset-1-stageB.log,
clip,CLIP,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/clip.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/clip_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/clip__NVIDIA-dataset-stageB.log,
sbi,SBI,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sbi_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sbi__Dataset-1-stageB.log,
sbi,SBI,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/sbi.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/sbi_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/sbi__NVIDIA-dataset-stageB.log,
pcl-i2g,PCL-I2G,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/pcl_xception_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/pcl-i2g__Dataset-1-stageB.log,
pcl-i2g,PCL-I2G,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/pcl_xception.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/pcl_xception_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/pcl-i2g__NVIDIA-dataset-stageB.log,
multi-attention,Multi-Attention,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/multi_attention_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/multi-attention__Dataset-1-stageB.log,
multi-attention,Multi-Attention,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/multi_attention.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/multi_attention_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/multi-attention__NVIDIA-dataset-stageB.log,
lsda,LSDA,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/lsda_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/lsda__Dataset-1-stageB.log,
lsda,LSDA,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/lsda.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/lsda_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/lsda__NVIDIA-dataset-stageB.log,
effort,Effort,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/effort_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/effort__Dataset-1-stageB.log,
effort,Effort,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/effort.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/effort_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/effort__NVIDIA-dataset-stageB.log,
