condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command,clean_status,clean_auc,clean_ap,clean_acc,clean_eer,clean_runtime_sec,delta_auc,delta_ap,delta_acc,delta_eer,delta_runtime_sec
distorted,Dataset-1-mini::gaussian_blur_v1__4a1525bdf7::v0,Dataset-1-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,mesonet,MesoNet,naive,Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,30.061,0.5,0.6956,0.32,0.6154229241927858,0.6956,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/mesonet__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,success,0.7268,0.6360072510701688,0.5,0.3,31.973,-0.031200000000000006,-0.020584326877382986,0.0,0.020000000000000018,-1.911999999999999
distorted,Dataset-1-mini::gaussian_blur_v1__4a1525bdf7::v0,Dataset-1-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,mesoinception,MesoInception,naive,Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.34,0.52,0.5256000000000001,0.46,0.5534719081790593,0.5256000000000001,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/mesoinception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,success,0.498,0.5222953761431295,0.49,0.48,30.559,0.02760000000000007,0.03117653203592985,0.030000000000000027,-0.019999999999999962,-0.2190000000000012
distorted,Dataset-1-mini::gaussian_blur_v1__4a1525bdf7::v0,Dataset-1-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,xception,Xception,naive,Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.531,0.59,0.6204000000000001,0.38,0.6922413959396307,0.6204000000000001,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/xception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__Dataset-1-mini__gaussian_blur_v1__4a1525bdf7__v0,success,0.6819999999999999,0.6989347375714321,0.59,0.4,5.494,-0.06159999999999988,-0.006693341631801353,0.0,-0.020000000000000018,0.03699999999999992
