detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesoinception,MesoInception,naive,1,0.5256000000000001,0.5256000000000001,0.02760000000000007,0.02760000000000007,0.03117653203592985,0.030000000000000027,-0.019999999999999962
mesonet,MesoNet,naive,1,0.6956,0.6956,-0.031200000000000006,-0.031200000000000006,-0.020584326877382986,,0.020000000000000018
xception,Xception,naive,1,0.6204000000000001,0.6204000000000001,-0.06159999999999988,-0.06159999999999988,-0.006693341631801353,,-0.020000000000000018
