condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command
clean,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,mesonet,MesoNet,naive,Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,33.007,0.5,0.7268,0.3,0.6360072510701688,0.7268,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/logs/mesonet__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0
clean,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,mesoinception,MesoInception,naive,Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.312,0.49,0.498,0.48,0.5222953761431295,0.498,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/logs/mesoinception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0
clean,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,xception,Xception,naive,Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.644,0.59,0.6819999999999999,0.4,0.6989347375714321,0.6819999999999999,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/logs/xception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__clean_subset__jpeg_compress_v1__074f6a9a12__v0
distorted,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,mesonet,MesoNet,naive,Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,31.654,0.5,0.7268,0.28,0.6331899192053055,0.7268,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/logs/mesonet__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0
distorted,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,mesoinception,MesoInception,naive,Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,33.635,0.5,0.5312,0.46,0.5210869866746929,0.5312,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/logs/mesoinception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesoinception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0
distorted,Dataset-1-mini::jpeg_compress_v1__074f6a9a12::v0,Dataset-1-mini,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/generated_dataset_json/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/source_jsonl/Dataset-1-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/jobs/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/augmented/Dataset-1-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/work/distorted_outputs/Dataset-1-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,xception,Xception,naive,Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.672,0.65,0.6748,0.4,0.729176406760811,0.6748,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/logs/xception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_jpeg_dataset1mini_top3_matched_mps_py311/benchmark_runs/Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/xception__Dataset-1-mini__jpeg_compress_v1__074f6a9a12__v0
