dataset_name,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl
Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,Dataset-1,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/generated_dataset_json/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/augmented/Dataset-1.jsonl
NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0,NVIDIA-dataset,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/generated_dataset_json/NVIDIA-dataset__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/final_full_gaussian_blur_top3/work/augmented/NVIDIA-dataset.jsonl
