detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesonet,MesoNet,naive,2,0.6199637820950323,0.5378799400000001,0.01538027835853134,0.012261036717062579,0.022983190455023672,-0.0012076583592938728,-0.013249999999999984
mesoinception,MesoInception,naive,2,0.4921555169330453,0.45308435999999996,-0.02207395420626354,-0.029457343412527037,-0.008828150152023262,-0.03913130841121493,0.018350000000000033
xception,Xception,naive,2,0.505601929762419,0.42329792,-0.04022942932505402,-0.07366937365010806,-0.042253913482012434,-0.01833995327102808,0.018599999999999978
