dataset_name,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl
Dataset-1__jpeg_compress_v1__074f6a9a12__v0,Dataset-1,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/final_full_jpeg_top3/generated_dataset_json/Dataset-1__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/final_full_jpeg_top3/work/augmented/Dataset-1.jsonl
NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0,NVIDIA-dataset,jpeg_compress_v1,jpeg_compress_v1__074f6a9a12,jpeg,0,/Users/Hao/thesis-project/training/results/final_full_jpeg_top3/generated_dataset_json/NVIDIA-dataset__jpeg_compress_v1__074f6a9a12__v0.json,/Users/Hao/thesis-project/training/results/final_full_jpeg_top3/work/augmented/NVIDIA-dataset.jsonl
