detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesoinception,MesoInception,naive,2,0.5728526034287256,0.48881842499999995,0.05862313228941676,0.021043499999999937,0.057269517413939236,0.03858730529595017,-0.041899999999999965
mesonet,MesoNet,naive,2,0.6486639936663067,0.5285871449999999,0.04408048992980562,0.009206724999999971,0.05171160981585898,2.8842159916886434e-05,-0.033299999999999996
xception,Xception,naive,2,0.44704784191684666,0.40690457883369335,-0.0987835171706263,-0.25467073434125265,-0.111619259429866,-0.04934953271028042,0.06675000000000003
