condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command
clean,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,mesonet,MesoNet,naive,NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,31.426,0.5,0.5184,0.48,0.5038912017072544,0.5184,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/logs/mesonet__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0
clean,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,mesoinception,MesoInception,naive,NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.591,0.5,0.392,0.5,0.43754934147453406,0.392,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/logs/mesoinception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0
clean,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,xception,Xception,naive,NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.798,0.52,0.414,0.56,0.47625402744732387,0.414,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/logs/xception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__noise_v1__d23d8d061a__v0
distorted,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,mesonet,MesoNet,naive,NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,30.313,0.5,0.5392000000000001,0.46,0.5405633148210675,0.5392000000000001,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/logs/mesonet__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0
distorted,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,mesoinception,MesoInception,naive,NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.322,0.47,0.40360000000000007,0.5,0.46492642150207675,0.40360000000000007,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/logs/mesoinception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0
distorted,NVIDIA-dataset-mini::noise_v1__d23d8d061a::v0,NVIDIA-dataset-mini,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,xception,Xception,naive,NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,6.37,0.5,0.4476,0.56,0.47587907383896266,0.4476,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/logs/xception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/champion_smoke_small_noise_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0/test_artifacts/xception__NVIDIA-dataset-mini__noise_v1__d23d8d061a__v0
