detector_key,detector_name,family,distortion_runs,mean_auc,worst_auc,mean_delta_auc,worst_delta_auc,mean_delta_ap,mean_delta_acc,mean_delta_eer
mesonet,MesoNet,naive,1,0.5776,0.5776,0.05920000000000003,0.05920000000000003,0.0708306011418196,0.0,-0.03999999999999998
xception,Xception,naive,1,0.3532,0.3532,-0.060799999999999965,-0.060799999999999965,-0.06619018054185394,-0.08000000000000002,0.07999999999999996
mesoinception,MesoInception,naive,1,0.30560000000000004,0.30560000000000004,-0.08639999999999998,-0.08639999999999998,-0.04264484276581315,-0.16999999999999998,0.14
