condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command
clean,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,mesonet,MesoNet,naive,NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,32.92,0.5,0.5184,0.48,0.5038912017072544,0.5184,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/logs/mesonet__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0
clean,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,mesoinception,MesoInception,naive,NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.494,0.5,0.392,0.5,0.43754934147453406,0.392,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/logs/mesoinception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0
clean,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,xception,Xception,naive,NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.529,0.52,0.414,0.56,0.47625402744732387,0.414,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/logs/xception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__clean_subset__gaussian_blur_v1__4a1525bdf7__v0
distorted,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,mesonet,MesoNet,naive,NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,30.515,0.5,0.5776,0.44,0.574721802849074,0.5776,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/mesonet__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0
distorted,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,mesoinception,MesoInception,naive,NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,30.182,0.33,0.30560000000000004,0.64,0.3949044987087209,0.30560000000000004,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/mesoinception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0
distorted,NVIDIA-dataset-mini::gaussian_blur_v1__4a1525bdf7::v0,NVIDIA-dataset-mini,gaussian_blur_v1,gaussian_blur_v1__4a1525bdf7,gaussian_blur,0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/generated_dataset_json/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset-mini.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/source_jsonl/NVIDIA-dataset-mini__test.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/jobs/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/augmented/NVIDIA-dataset-mini.jsonl,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/work/distorted_outputs/NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,xception,Xception,naive,NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,5.597,0.44,0.3532,0.64,0.41006384690546993,0.3532,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/metrics.json,/Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/logs/xception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/evaluation_dataset_json --test_dataset NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/distortion_smoke_small_nvidia_mini_top3_matched_mps_py311/benchmark_runs/NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__NVIDIA-dataset-mini__gaussian_blur_v1__4a1525bdf7__v0
